Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length,Grizzly
225,3.7,11.3,Blond,Rounded,6.7,No
489,7.8,12,Black,Rounded,11.7,Yes
451,5.1,11.1,White,Broad,11.8,Yes
234,9.1,11.8,Dark Brown,Pointed,8.8,No
233,4.6,12.4,Light Brown,Broad,6.7,No
477,2.9,10.4,Blond,Broad,7.3,No
235,4.9,11.3,Cinnamon,Broad,5.5,No
320,3.1,10.7,Dark Brown,Broad,10,No
442,1.7,9.4,Blond,Rounded,9.2,Yes
349,1.5,10.4,Blond,Pointed,9.5,No
336,4,10.1,White,Broad,8.7,Yes
433,3.1,12.9,Blond,Broad,5.7,No
339,5.5,13.2,Cinnamon,Pointed,8.2,Yes
487,7.1,16.3,White,Rounded,11.3,Yes
208,5.2,8.6,Dark Brown,Broad,10.6,No
331,4.9,10.1,Cinnamon,Rounded,8.4,Yes
345,2.3,11.1,Blond,Broad,6.3,No
443,1.8,7,Blond,Broad,8.7,No
396,5.9,17.1,Black,Broad,10.2,Yes
358,9.3,11.5,Black,Pointed,10.3,Yes
202,3.2,9.1,Blond,Broad,7.8,No
301,4.2,15.5,Cinnamon,Rounded,12,Yes
487,2.8,16.7,White,Broad,11.7,Yes
446,3.3,17.8,White,Broad,8.1,Yes
209,3,9.3,Dark Brown,Rounded,5.8,No
459,3,17.2,Blond,Broad,8,No
310,3.1,9.7,Blond,Broad,8.6,No
242,2.9,9.6,White,Broad,10.5,No
309,5.9,9.2,Blond,Pointed,8.3,No
276,4.5,7.8,Cinnamon,Pointed,7.9,No
470,6.5,16.8,Black,Broad,12,Yes
336,2.7,9.5,Light Brown,Pointed,8.5,No
321,4.7,12.4,White,Broad,5.6,No
325,3.4,11.4,Blond,Broad,8.2,No
486,7.9,16.1,White,Rounded,10.8,Yes
217,4,16.2,Black,Broad,10.8,Yes
251,1.8,11.1,Light Brown,Broad,11.1,No
454,3.4,16.1,Black,Broad,10.5,Yes
340,4.9,12.2,Light Brown,Broad,8.6,No
309,1.8,9.9,Light Brown,Pointed,9,No
461,7.1,11,Black,Broad,8.3,Yes
282,7.1,10.5,Blond,Pointed,9,No
344,4.3,14.7,Light Brown,Rounded,8.4,Yes
252,6.2,16.4,Black,Rounded,9.2,Yes
333,6,9,Blond,Pointed,7.3,No
343,3,10.6,Light Brown,Broad,5.3,No
287,1.5,8,Dark Brown,Broad,11.3,No
297,1.8,11.5,Blond,Pointed,7.8,No
309,4.9,7.7,Blond,Pointed,11.1,No
484,1.1,7.6,Black,Broad,12,Yes
499,1.5,18,Cinnamon,Rounded,9.8,Yes
386,4,15.3,White,Rounded,11.2,Yes
470,5,11.6,Cinnamon,Rounded,11.8,Yes
311,4.3,17.5,Cinnamon,Rounded,11.5,Yes
494,4.3,9.5,Cinnamon,Rounded,8.4,Yes
258,3.6,12.8,Light Brown,Broad,5.9,No
330,1.4,9.8,Blond,Pointed,6.6,No
348,4.9,11.4,Cinnamon,Broad,8.8,No
307,2.4,10.6,Dark Brown,Pointed,9.9,No
262,2.7,8.1,White,Pointed,6.9,No
485,4,14.9,Light Brown,Broad,6.7,No
222,8,15.9,Dark Brown,Broad,8.9,No
387,5.8,16.2,Cinnamon,Broad,8,Yes
215,4.4,15.2,Black,Rounded,10.8,Yes
460,5.6,17.1,White,Rounded,9.7,Yes
324,1.8,11.2,Dark Brown,Broad,6.4,No
296,2,11.1,Blond,Pointed,9.3,No
200,8.4,8.8,Light Brown,Broad,9.7,Yes
359,3.8,15.6,Cinnamon,Broad,11.5,Yes
224,9.8,10.1,White,Broad,9.5,No
399,7.9,12.3,White,Rounded,9,Yes
479,6.6,12.1,Cinnamon,Broad,10.7,Yes
494,7.7,12.4,Cinnamon,Rounded,10.1,Yes
397,6.6,17.3,Dark Brown,Rounded,8.3,Yes
489,9.9,16,Light Brown,Rounded,6,No
367,1.8,12.8,Cinnamon,Broad,5.5,No
461,9.3,12.1,Light Brown,Pointed,8.2,No
368,5.4,14.6,Black,Broad,9,Yes
495,4.6,8.2,Cinnamon,Broad,8.2,Yes
425,4.8,8.2,Dark Brown,Rounded,8.4,No
435,6.3,16.7,Cinnamon,Pointed,8,Yes
402,9.6,11.7,Black,Rounded,5.5,Yes
486,9,8.8,Black,Rounded,10,Yes
434,4.2,10.1,White,Rounded,6.1,Yes
290,2.2,16.6,Blond,Pointed,8.3,No
469,6.8,7.8,Black,Broad,11,Yes
492,4.6,11.9,Cinnamon,Broad,10.4,Yes
424,6.8,16.5,Cinnamon,Broad,9,Yes
220,2.3,10.3,Dark Brown,Pointed,9.9,No
455,1.5,12.1,White,Rounded,8.8,Yes
457,3.7,12.3,White,Broad,10.2,Yes
447,7.6,15.8,White,Rounded,9.7,Yes
233,4.7,7.1,Dark Brown,Broad,10.4,No
344,8.5,9.6,Blond,Broad,11.6,No
227,2.7,7.3,Blond,Broad,7.1,No
437,9.3,11.6,Cinnamon,Broad,11.8,Yes
276,5.5,12,Cinnamon,Broad,11.2,Yes
324,6.2,7.3,Dark Brown,Broad,7.8,No
302,8.5,14.4,Dark Brown,Broad,8.4,No
434,5.6,14.5,Blond,Rounded,10.7,Yes
214,3.7,11.5,Blond,Broad,5.3,No
479,4.8,13.3,Cinnamon,Broad,8.8,Yes
246,9.2,13,Light Brown,Broad,5.6,No
302,4.9,11.6,Dark Brown,Pointed,9,No
392,1.6,7.8,Dark Brown,Broad,9.8,No
300,3.3,12.6,Blond,Broad,8.4,No
347,5.8,14.7,Cinnamon,Broad,8.6,Yes
215,2.3,11.6,Blond,Rounded,8.3,No
346,5.6,14.8,Cinnamon,Rounded,10.4,Yes
348,8.5,16.4,Light Brown,Broad,11.2,No
348,5.5,9.9,Dark Brown,Pointed,7,No
455,3.4,9.1,Cinnamon,Rounded,9.6,Yes
428,4,12.4,White,Rounded,10.3,Yes
403,6.4,9.1,White,Rounded,8.8,Yes
219,9.4,11.6,Black,Rounded,10.3,Yes
309,1,16,Light Brown,Broad,9.7,Yes
345,2,13.6,White,Rounded,11,Yes
220,1.3,10.5,Blond,Pointed,9.6,No
446,4.3,15.4,Cinnamon,Rounded,10,Yes
361,6.6,16.8,Cinnamon,Pointed,6.1,Yes
310,8.5,13.7,Black,Broad,10.2,Yes
296,1.6,12.8,Blond,Broad,8,No
201,2.6,12.4,Blond,Broad,7.5,No
413,4.6,15.8,White,Rounded,9.3,Yes
385,8.1,11.2,White,Broad,8.9,Yes
350,5.4,15.1,Dark Brown,Broad,9.4,No
478,2.5,14.7,White,Broad,8.9,Yes
423,4.1,13,White,Rounded,9.2,Yes
328,4.5,15.9,Black,Rounded,6.5,Yes
233,1.6,11.6,Blond,Broad,9.7,No
480,2.2,12.6,Dark Brown,Broad,6.8,No
316,1.5,7.9,Blond,Rounded,6.5,No
228,3.6,12.6,Blond,Rounded,6.4,No
341,4.6,13.2,Dark Brown,Rounded,5.2,No
213,9.6,11.8,Dark Brown,Pointed,11.9,Yes
307,8.7,8.2,Black,Rounded,5.4,Yes
345,9.9,12.9,Black,Broad,9.2,Yes
414,8.7,11.5,White,Rounded,9,Yes
341,4,11.2,Black,Pointed,7.3,No
311,4.9,11.8,Light Brown,Broad,5.4,No
404,4.7,13.8,White,Rounded,5.2,Yes
207,5,16.8,Light Brown,Broad,11.9,Yes
385,3.6,12.1,Light Brown,Broad,5.4,No
461,7.1,12.8,White,Broad,9.5,Yes
218,2.2,10.2,White,Broad,5.1,No
463,9.7,15,White,Broad,10.4,Yes
426,6.6,14.9,Cinnamon,Broad,9.3,Yes
307,5.1,8.9,Blond,Pointed,8.2,No
455,8.1,13.1,Black,Pointed,9.7,Yes
452,3,7.7,Light Brown,Pointed,8,No
201,1.8,10.1,Light Brown,Pointed,11.9,No
264,3.8,8,Dark Brown,Pointed,9.9,No
292,6.9,11.6,Black,Broad,10.2,Yes
454,9.8,7.4,Black,Rounded,8,Yes
289,4.9,11.7,Dark Brown,Broad,7,No
257,4.1,8.5,Dark Brown,Broad,10.1,No
289,4.2,12.5,Dark Brown,Pointed,10,No
480,4.6,8.9,Blond,Pointed,5.9,No
477,5.7,12.6,White,Rounded,9.3,Yes
412,5.5,12.6,Cinnamon,Broad,8.6,Yes
223,4.2,17.7,Black,Rounded,11.6,Yes
493,7.4,14.3,Cinnamon,Broad,6.3,Yes
352,1.7,13.7,Blond,Pointed,9.8,No
497,5.7,14.9,Black,Rounded,8.6,Yes
305,6.7,12.4,Black,Broad,8.3,Yes
308,4.4,12,Black,Rounded,6.8,Yes
319,2.2,7.3,Dark Brown,Broad,11,No
254,4.7,10,Black,Pointed,6.9,No
498,7.7,11.8,Black,Broad,11.5,Yes
342,4.1,13.9,Dark Brown,Pointed,9.9,No
416,8.5,16.8,White,Broad,10.5,Yes
401,5.1,16,Black,Rounded,11.4,Yes
368,1.7,12.4,Light Brown,Broad,5.7,No
391,5.2,17.6,Black,Rounded,9.6,Yes
471,5.1,10.5,Light Brown,Rounded,5.2,No
440,9.8,16.1,Black,Broad,9.3,Yes
303,3.7,11.8,Dark Brown,Rounded,9.8,No
279,4.8,11.1,White,Broad,10.8,Yes
212,1.9,9,Light Brown,Broad,8.8,No
350,8.5,17.1,Cinnamon,Rounded,9.5,Yes
273,5,8.7,Blond,Pointed,8.3,No
345,7.5,9.6,Cinnamon,Broad,6.4,Yes
337,8.8,17.7,Cinnamon,Rounded,10.5,Yes
371,1.2,8.9,Dark Brown,Rounded,9.7,No
441,7.5,7.4,White,Broad,11.5,Yes
480,7.7,8.1,Light Brown,Rounded,9.4,No
354,7.2,16.7,Cinnamon,Broad,10.7,Yes
267,4.8,8.6,Blond,Broad,7.8,No
307,1.4,10.3,Light Brown,Broad,8.3,No
463,6.8,7.5,Dark Brown,Broad,7.1,No
325,5.9,7.1,Light Brown,Pointed,6.7,No
435,3.2,8.6,Dark Brown,Broad,7.4,No
281,7.7,11.2,Light Brown,Rounded,9.8,No
310,3.6,9.3,Cinnamon,Broad,8,Yes
234,2.8,11.3,Blond,Pointed,5.3,No
487,2.2,9.8,Cinnamon,Rounded,11.1,Yes
357,8.4,15.4,White,Rounded,8.8,Yes
346,3.4,7.1,Black,Broad,5.6,No
330,1.6,15.5,Cinnamon,Broad,11.8,Yes
292,1.5,10.1,Light Brown,Broad,5,No
336,7.3,13.6,Cinnamon,Broad,9.5,Yes
405,7.9,8.4,Light Brown,Pointed,7.6,No
333,1.7,11.6,Blond,Broad,9,Yes
227,4.6,12.3,Blond,Broad,8.4,No
279,1.4,11.1,Light Brown,Rounded,5.9,No
207,4.4,8.8,Blond,Pointed,8.4,No
214,2.8,10.3,Light Brown,Broad,8.3,No
285,9.3,16.9,Black,Rounded,9.3,Yes
424,9.3,7.2,Cinnamon,Rounded,10.5,Yes
301,9.4,14.9,Black,Rounded,11.7,Yes
300,5.2,16.4,White,Broad,9,Yes
335,6.4,12.6,Cinnamon,Rounded,10.2,Yes
369,2.9,17.1,Black,Broad,9.6,Yes
217,4,12.1,Light Brown,Rounded,7.7,No
247,2.5,15.7,Blond,Pointed,10.3,No
378,6.1,16.3,Cinnamon,Rounded,11.3,Yes
355,9.1,16,White,Pointed,7.1,Yes
329,6.7,13.1,Cinnamon,Broad,9.6,Yes
383,3.1,11.3,Light Brown,Broad,9.7,No
252,3.9,8.4,Dark Brown,Broad,8.9,No
469,5.7,18,White,Pointed,10.4,Yes
381,3.3,15.5,White,Rounded,9.7,Yes
358,7.3,17.5,Blond,Broad,11.4,Yes
396,7.7,15.8,Cinnamon,Broad,9.2,Yes
418,4.5,15.6,Light Brown,Broad,8.1,Yes
378,5.3,8.9,Black,Pointed,8.8,Yes
347,5.5,13.5,White,Rounded,6.5,Yes
414,9.2,9.1,Cinnamon,Broad,11.6,Yes
296,3.4,8.4,Light Brown,Pointed,9.3,No
292,4.6,9.2,Cinnamon,Rounded,6.4,No
368,8.7,13.3,White,Pointed,10.5,Yes
374,3.3,10.7,Black,Broad,8.2,Yes
387,1.6,16.8,Light Brown,Rounded,11.9,Yes
297,8.1,13.9,Blond,Pointed,8.2,No
343,5.2,8.2,Dark Brown,Pointed,9.5,No
335,4.4,12.8,Dark Brown,Pointed,6.3,No
214,5.4,8,Dark Brown,Broad,6.2,No
224,1,12,Light Brown,Pointed,8.7,No
307,2.4,7.7,Cinnamon,Rounded,8.3,Yes
413,3,13,Cinnamon,Rounded,11.4,Yes
243,9.3,15.9,Cinnamon,Rounded,8,Yes
310,2.5,7.3,Light Brown,Pointed,9.7,No
294,8.9,11,White,Pointed,6.8,Yes
317,4,8.3,Light Brown,Pointed,8.3,No
313,5.1,10.2,Black,Broad,12,Yes
302,5,10.4,Black,Rounded,5.1,Yes
300,6.6,11.1,Dark Brown,Broad,6.7,No
223,4.6,12.1,White,Rounded,5.5,No
361,4,7.1,Light Brown,Broad,8.7,No
345,8,14.8,White,Pointed,8.8,Yes
332,4.7,16.4,White,Rounded,10.7,Yes
265,8.3,10.5,Dark Brown,Broad,5.5,No
301,3,8.9,Blond,Rounded,6.4,No
303,9.8,12.2,Cinnamon,Rounded,12,Yes
410,5.1,13.2,Dark Brown,Pointed,9.9,No
331,4.1,13.6,White,Rounded,10.7,Yes
300,1.2,10.9,Blond,Pointed,9.2,No
297,8.6,7.6,Blond,Broad,5.3,No
317,2.9,16.7,Blond,Rounded,10.3,No
451,4.3,9.4,Black,Pointed,8,Yes
227,3.6,10.5,Blond,Pointed,9,No
348,6.9,14.9,Light Brown,Pointed,6.6,No
324,6.2,11.6,Cinnamon,Rounded,8.8,Yes
316,4.7,8.4,Light Brown,Pointed,8.1,No
307,2.8,13,Light Brown,Pointed,7,No
307,9.3,13.6,White,Pointed,9,Yes
463,9.5,8.1,Light Brown,Rounded,8.3,Yes
355,3.3,11.3,Blond,Broad,9.5,No
459,9.6,14.8,Black,Pointed,11,Yes
391,3.8,10.2,Light Brown,Broad,6.3,No
468,2,12.8,Blond,Pointed,7,No
499,3.3,16.6,White,Broad,8.2,Yes
262,9.4,8.6,Black,Broad,8.2,Yes
374,4.4,15.3,White,Rounded,11.6,Yes
448,10,11.5,Cinnamon,Broad,7.4,Yes
412,1.6,7,Blond,Broad,6.8,No
263,4.3,7.9,Light Brown,Pointed,8.9,No
331,2.5,11.2,Light Brown,Rounded,5.2,No
237,5.2,14.6,Dark Brown,Pointed,9.1,No
216,3.1,7.7,Dark Brown,Broad,6.4,No
338,3.8,10.2,Dark Brown,Pointed,6.3,No
332,4.2,16.9,White,Broad,10.8,Yes
348,4.6,12.6,Light Brown,Rounded,9.7,No
321,4.1,8.6,Dark Brown,Rounded,8.1,No
235,4.1,9,Blond,Rounded,5.5,No
416,5.7,14.4,Black,Rounded,10.4,Yes
260,3.3,10.3,Blond,Broad,8.9,No
353,4,17.7,White,Rounded,11.9,Yes
399,5.7,12.6,Black,Broad,11.6,Yes
462,5.3,14.8,Cinnamon,Broad,8.6,Yes
291,4.8,9.8,Dark Brown,Pointed,9.7,No
253,8.1,7.7,White,Broad,8.4,Yes
226,2,13.3,Blond,Broad,9.2,No
278,1,9.2,Dark Brown,Rounded,8.8,No
440,5.9,12.1,Black,Rounded,8.6,Yes
238,3.9,12.3,Blond,Pointed,6.8,No
323,4.6,10.3,Light Brown,Broad,5.2,No
230,9.8,11.5,Cinnamon,Broad,6.6,No
288,6.3,17.8,Light Brown,Pointed,6.2,No
379,9.3,15.7,Cinnamon,Broad,5,Yes
457,8.1,11.6,Black,Broad,9.7,Yes
305,6.6,17,Cinnamon,Rounded,8.7,Yes
342,4.6,17.9,Cinnamon,Broad,10.9,Yes
365,5,13.3,Cinnamon,Broad,8.8,Yes
428,6.8,9.1,White,Rounded,10.4,Yes
439,9.3,14.9,Cinnamon,Broad,10.1,Yes
344,2.6,10.4,Blond,Broad,6.8,No
346,1.2,8.9,Blond,Broad,6.4,No
397,2.4,11.4,Dark Brown,Pointed,7.2,No
231,9.4,10.2,Cinnamon,Broad,10,No
390,5.9,13.7,Black,Broad,11.4,Yes
434,1.1,17.1,Black,Rounded,11.9,Yes
460,2.1,17.2,White,Broad,11.5,Yes
346,6.7,16.3,Black,Pointed,9.2,Yes
335,5.9,7.1,Dark Brown,Broad,8,No
312,5.5,11.8,Blond,Broad,9.7,No
457,3.7,11.7,Dark Brown,Pointed,8,No
409,4.8,7.7,Dark Brown,Rounded,8.4,No
446,8.5,15,Black,Broad,10.9,Yes
261,1.4,10.1,Light Brown,Pointed,8.6,No
252,5.4,7.7,Light Brown,Rounded,6.7,No
385,8.3,13.1,White,Broad,9.6,Yes
209,7.3,11.3,Light Brown,Broad,9.5,No
388,8.3,8,Cinnamon,Rounded,8.3,Yes
310,3.8,9.5,Cinnamon,Pointed,6.3,No
246,3.6,8.5,Light Brown,Rounded,5.4,No
306,4.4,8,Light Brown,Broad,11.4,No
396,9.3,14.7,Black,Broad,10.1,Yes
313,5.3,10.1,Light Brown,Pointed,11.5,No
319,2.7,7.2,Blond,Broad,8.2,No
411,4.9,11.6,Cinnamon,Broad,10.6,Yes
447,9.9,14.3,Cinnamon,Broad,8,Yes
490,6.6,17.6,White,Broad,11.9,Yes
413,7.6,12.2,Black,Broad,11.4,Yes
320,4.4,11,Blond,Pointed,9.3,No
419,6.6,17.2,Black,Broad,11.9,Yes
270,2.8,8.6,Dark Brown,Pointed,9.8,No
275,4.3,10.3,Black,Pointed,10,No
285,2.5,10.7,Light Brown,Broad,5.1,No
495,5.2,9,White,Broad,9.3,Yes
315,5.4,11.6,Light Brown,Broad,9,Yes
369,7,13,Cinnamon,Broad,8.2,Yes
296,2.5,11.6,Cinnamon,Pointed,5.3,No
459,7.1,16,Cinnamon,Rounded,8.7,Yes
491,4.1,16.5,Blond,Rounded,9.3,Yes
380,4.7,7.9,Light Brown,Broad,9.2,No
310,9,13.4,Cinnamon,Rounded,10,Yes
266,4.3,7.9,White,Pointed,10,No
220,2.5,12.8,Light Brown,Pointed,8.1,No
344,3.5,7.8,Dark Brown,Broad,6.8,No
248,1.1,11.2,Dark Brown,Broad,5.3,No
294,2.2,8.8,Light Brown,Rounded,8.1,No
417,3.6,7,Light Brown,Pointed,8.2,No
344,2.1,11.1,Dark Brown,Broad,8.5,No
289,2,7.8,Dark Brown,Pointed,9.3,No
369,7.8,11.6,Cinnamon,Broad,8.7,Yes
321,7.2,8.1,Blond,Pointed,5.6,No
345,7.6,16.4,Cinnamon,Broad,11.6,Yes
360,9.6,9.3,Black,Pointed,5.3,Yes
333,4.8,12.3,Light Brown,Pointed,10.7,No
217,3,8.5,Light Brown,Rounded,5.8,No
466,7,16.5,Black,Broad,8.1,Yes
487,4,11.5,Black,Rounded,10.1,Yes
272,1.3,8.3,Light Brown,Broad,5.9,No
475,5,12.3,Dark Brown,Pointed,5.3,No
463,3.8,11.4,Black,Broad,8.9,Yes
369,4.1,11.8,White,Broad,11.8,Yes
344,8.9,16,Cinnamon,Broad,9.4,Yes
433,8.5,7,Black,Broad,8.7,Yes
356,4.9,13.3,Cinnamon,Pointed,10.5,Yes
295,2.5,13,Light Brown,Rounded,9.5,No
312,1.2,11.4,White,Rounded,6.3,Yes
424,1.3,11.7,Dark Brown,Pointed,6,No
343,2.2,15.4,Light Brown,Pointed,9.8,No
277,3.2,11.5,Light Brown,Pointed,7.2,No
309,8.1,17.3,Black,Broad,9.7,Yes
334,1.6,7.7,Black,Broad,7.3,No
291,4.7,9.1,Blond,Pointed,11.4,No
320,1.1,12.1,Blond,Pointed,5.5,No
341,2.7,12.1,Light Brown,Pointed,6.8,No
487,9.9,15,Cinnamon,Broad,11.6,Yes
359,5.1,16.4,Black,Rounded,9.5,Yes
205,2.3,10.2,Blond,Broad,8.5,No
350,1.4,12,Dark Brown,Pointed,8.5,No
447,3.4,13.9,Black,Broad,8.3,Yes
298,1.8,12.8,Dark Brown,Broad,8.1,No
276,1.9,13,White,Pointed,5,No
276,3.8,11.5,Dark Brown,Broad,5.2,No
290,8.9,11.9,Light Brown,Pointed,10.5,No
218,4,8,Dark Brown,Pointed,8.2,No
217,7.8,12.8,White,Rounded,10.8,Yes
274,2.6,12.3,Blond,Broad,7.6,No
318,4.3,9,Light Brown,Broad,11,No
264,2.9,9.8,Dark Brown,Broad,9.5,No
475,5.8,15.2,White,Rounded,11,Yes
341,4.6,15,Cinnamon,Pointed,10.7,Yes
316,1.7,8.2,Light Brown,Pointed,7.9,No
320,2.9,11.5,Black,Broad,11.2,Yes
310,2.5,10.1,Dark Brown,Pointed,6.8,No
400,7.5,10.3,Black,Rounded,11.1,Yes
304,6.4,11.1,White,Rounded,11.7,Yes
348,2.2,12.8,Dark Brown,Broad,6.1,No
441,5,16,Cinnamon,Broad,9.4,Yes
457,7.6,16.2,Cinnamon,Broad,9.5,Yes
450,3.6,9.9,Blond,Pointed,9.4,No
488,6.6,10.8,White,Broad,9.3,Yes
430,5.6,8.4,Light Brown,Pointed,8.7,No
254,4.3,9.9,Light Brown,Pointed,5.5,No
219,5.1,13,White,Broad,10,No
492,8.1,14,Cinnamon,Pointed,8.1,Yes
223,4.8,7.7,Light Brown,Pointed,9.5,No
387,9.7,17.2,Dark Brown,Broad,8.4,Yes
342,4.9,8,Blond,Broad,5.8,No
396,5.3,14.3,Cinnamon,Rounded,8.4,Yes
355,2.4,8.7,Light Brown,Broad,10.2,No
295,3.6,10.4,Dark Brown,Broad,9.7,No
437,4.8,12.8,Light Brown,Rounded,8.5,Yes
295,3.1,16.2,Light Brown,Pointed,5,No
442,9.8,12,White,Rounded,9.9,Yes
477,6.8,12.6,Black,Rounded,9.6,Yes
282,1.4,7.4,Black,Broad,5.7,No
450,10,11,White,Broad,10.4,Yes
375,9.8,9.3,White,Rounded,8.8,Yes
288,3.9,10.7,Dark Brown,Broad,7.6,No
321,1.5,8.7,Dark Brown,Broad,6.5,No
459,8.4,14.1,White,Rounded,8.7,Yes
252,1,8.6,Dark Brown,Pointed,7,No
240,4.2,7.5,Light Brown,Broad,6.1,No
259,4.6,9,Blond,Broad,10.6,No
350,5.4,10.3,Dark Brown,Pointed,9.4,No
377,3.5,15.7,Cinnamon,Broad,8.8,Yes
470,5.2,15.3,Black,Broad,7.6,Yes
231,1.6,9.2,Blond,Broad,7.7,No
339,8.9,17.1,Black,Broad,9.8,Yes
347,2.2,14,White,Rounded,11.6,Yes
306,3.6,7.2,Light Brown,Pointed,7.8,No
277,4.7,17.2,Cinnamon,Broad,10.2,Yes
235,3.7,10.6,Dark Brown,Pointed,8.8,No
338,3.4,16.8,Dark Brown,Broad,9.9,No
374,2.5,15,Black,Rounded,5.6,Yes
317,1.3,10.7,Blond,Pointed,8.6,No
371,1,11.4,Cinnamon,Broad,8.9,Yes
421,3.4,12.3,Light Brown,Broad,9.3,Yes
284,3.8,9.9,Light Brown,Broad,7.1,No
464,8.1,13.9,White,Rounded,10.9,Yes
265,4,7.8,Light Brown,Pointed,8.2,No
360,9.4,11.8,White,Rounded,8.3,Yes
332,2.3,7.5,Black,Rounded,8,Yes
339,5.8,12.6,Black,Broad,9.3,Yes
231,3.4,7.6,Blond,Pointed,9.8,No
365,5.2,11.7,Cinnamon,Broad,8.9,Yes
335,2.4,11.4,Blond,Broad,8.8,No
210,3.4,11.2,Dark Brown,Rounded,11.5,Yes
250,1.4,7.8,Light Brown,Broad,8.8,No
330,1.9,10,Dark Brown,Broad,9.9,No
372,8.1,8.5,Black,Rounded,9.6,Yes
267,5.9,9.2,White,Rounded,6.5,Yes
253,5.1,12.4,Blond,Broad,9.3,No
427,6.7,14,Light Brown,Broad,9.2,Yes
231,1.5,13.7,Dark Brown,Rounded,8.7,No
384,8.5,14,White,Pointed,10.2,Yes
325,1,10.5,Blond,Rounded,6.1,No
429,6.3,11.9,Black,Rounded,6.9,Yes
201,1.4,8.5,Blond,Pointed,7.7,No
271,4.4,11.1,Black,Rounded,8.1,Yes
419,4.8,16.4,Black,Broad,8.9,Yes
411,5.2,13.2,Cinnamon,Broad,12,Yes
214,6.2,16,Cinnamon,Broad,8.8,Yes
320,8.8,8.1,Blond,Rounded,8.9,Yes
348,7.2,12.2,Cinnamon,Broad,10.5,Yes
374,7.2,17.2,Black,Broad,9.1,Yes
318,2.9,14.9,Cinnamon,Rounded,10.1,Yes
271,6.9,17.4,White,Broad,9.3,Yes
388,1.9,8,Light Brown,Broad,5.2,No
310,1,10.2,Dark Brown,Broad,7.4,No
296,2.2,10.6,Dark Brown,Pointed,11.6,No
451,5.2,13.3,Cinnamon,Broad,11.5,Yes
263,5.5,17,Blond,Pointed,9.8,No
337,2.2,11.2,Blond,Rounded,6.2,No
245,4,8.2,Light Brown,Pointed,6.6,No
476,4.4,15.2,White,Pointed,10.1,Yes
313,6.9,9,Dark Brown,Broad,9.3,No
295,6.1,16.2,Light Brown,Broad,11.5,No
410,8.2,17.1,Black,Broad,9.6,Yes
428,4.8,14.4,Black,Pointed,5.4,Yes
498,1.7,11.3,White,Rounded,10.3,Yes
360,2.4,16.8,Black,Rounded,5.4,Yes
423,8.6,11.6,Black,Broad,8.7,Yes
378,9.5,12.2,Cinnamon,Rounded,8.2,Yes
298,3.2,10.5,Dark Brown,Pointed,5.1,No
219,8.8,10.9,Dark Brown,Rounded,5.4,No
316,5.3,10.1,Light Brown,Broad,11.7,No
401,1.9,17,White,Broad,8.6,Yes
259,6.8,14.8,Black,Pointed,8.6,Yes
460,4.4,12.9,Black,Rounded,11.9,Yes
379,4.8,17.9,Black,Broad,8.2,Yes
209,2.2,13.9,Blond,Broad,7.8,No
293,4.3,16.5,Black,Pointed,11.4,Yes
473,2.1,7.7,Blond,Pointed,10,No
