Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length,Grizzly
347,2.4,11.6,Blond,Rounded,6.2,No
454,4.6,11.1,Light Brown,Pointed,7.7,No
484,9.2,12.7,White,Rounded,8.8,Yes
435,3.9,15.8,Black,Broad,10.7,Yes
371,3.7,12.1,Black,Rounded,5.6,Yes
321,4.5,12.9,Blond,Pointed,8.1,No
204,4,12.7,Blond,Broad,9.2,No
329,5.2,16,Black,Broad,10.9,Yes
317,9.4,11.4,White,Rounded,8.3,Yes
430,6,12.3,Cinnamon,Rounded,7.2,Yes
376,7,17.2,Cinnamon,Rounded,8.7,Yes
263,4.9,7.3,Cinnamon,Pointed,9.7,No
318,8.1,10,Dark Brown,Rounded,9.2,Yes
276,3,8.9,Dark Brown,Rounded,8.8,No
417,2.6,10.8,Blond,Pointed,5.1,No
323,7.8,13,Black,Broad,9.1,Yes
332,1.6,17,Dark Brown,Broad,6.9,No
306,4.1,16.9,Cinnamon,Pointed,8.6,Yes
486,6.9,7.1,White,Rounded,9.4,Yes
339,7,7.8,Black,Pointed,8,No
243,1.3,11.8,Black,Rounded,10.6,Yes
325,1.6,13.3,Cinnamon,Rounded,10.8,Yes
302,4.1,11.2,Dark Brown,Broad,8,No
336,5.5,8.5,Dark Brown,Broad,10,No
280,3.9,9.1,Cinnamon,Pointed,7,No
271,4.5,8.3,Light Brown,Broad,10.2,No
367,9.5,11.8,White,Broad,7.4,Yes
331,5.4,10.4,Blond,Broad,6.4,No
221,4.9,12.3,Blond,Pointed,8.7,No
303,4.6,12.5,Light Brown,Broad,7.6,No
494,3.4,18,Black,Rounded,10.8,Yes
260,5.1,12.2,Light Brown,Broad,8.1,No
274,1.9,9.2,Light Brown,Broad,6.5,No
318,1.5,10.9,Dark Brown,Pointed,9.8,No
231,2.8,7.4,Light Brown,Broad,7.1,No
204,5.9,10.4,White,Broad,9.4,Yes
328,3.4,9.4,Dark Brown,Broad,5.5,No
368,5,15.3,Black,Broad,8.9,Yes
349,4.7,11.3,Blond,Pointed,11.2,No
287,3.3,12.3,Blond,Pointed,7.1,No
267,6,16.9,Cinnamon,Rounded,11.5,Yes
339,4.2,15.8,White,Broad,8,Yes
350,2.9,8,Light Brown,Pointed,8,No
500,3.4,14.2,Light Brown,Pointed,8.5,No
293,4.7,11.5,Cinnamon,Pointed,5.3,No
218,2.1,9.2,Dark Brown,Broad,6.4,No
438,4.8,16.7,Blond,Rounded,11.2,Yes
359,4.7,15.7,Cinnamon,Pointed,9.7,Yes
385,6,10.7,Light Brown,Rounded,8.9,Yes
467,9.6,11.1,Cinnamon,Broad,9.5,Yes
391,5.9,13.6,White,Broad,10.1,Yes
291,1.7,11.2,Blond,Pointed,8.6,No
404,2.8,10.1,Dark Brown,Broad,9.5,No
315,9.2,10.9,Light Brown,Broad,6.8,No
330,2.3,11.8,Light Brown,Pointed,8.2,No
300,9.8,15.8,White,Rounded,11.7,Yes
325,5,10.8,Blond,Broad,5.6,No
257,8.6,15.6,Cinnamon,Rounded,9.7,Yes
445,5,13.3,Black,Broad,10.6,Yes
328,8.5,8.6,Cinnamon,Rounded,9,Yes
326,9.4,11.4,Light Brown,Broad,7.1,No
447,5.3,8.6,Dark Brown,Pointed,6.1,No
318,4.9,12.5,Dark Brown,Pointed,8,No
432,8.8,14.9,Cinnamon,Broad,11.7,Yes
486,7.5,11.8,Cinnamon,Rounded,7.2,Yes
269,4.8,17.9,Blond,Broad,8.2,No
267,1.2,8,Dark Brown,Rounded,7.4,No
204,5.3,16.2,Blond,Broad,12,No
329,5.4,15.7,White,Pointed,10,No
435,6.7,13,White,Rounded,11.2,Yes
259,5.3,13.7,Blond,Rounded,5.6,No
315,6.4,12.9,Black,Rounded,6.3,Yes
314,1.9,12.4,Light Brown,Pointed,5.1,No
336,8.1,16.9,Black,Broad,8.8,Yes
263,4.6,8.4,Light Brown,Pointed,7.2,No
429,4.3,13,Dark Brown,Broad,5.6,No
304,3.7,9.2,Dark Brown,Pointed,7.1,No
370,6.3,15.5,White,Broad,10.6,Yes
309,1.6,12.3,Black,Broad,8.3,Yes
338,8.4,11.9,White,Rounded,8.8,Yes
253,7.8,12.5,Blond,Broad,7.8,No
345,7.6,17.4,Cinnamon,Broad,9.5,Yes
242,2.8,10.1,Dark Brown,Broad,9.6,No
240,4.1,12.7,Blond,Pointed,10.4,No
348,2.2,9.5,Dark Brown,Pointed,5.2,No
334,3.9,11,Cinnamon,Broad,9.7,No
304,1.9,16,Light Brown,Rounded,8.1,No
326,4.1,11.8,White,Broad,5.8,Yes
340,6.2,12.1,Black,Rounded,11.3,Yes
442,5.9,13.4,White,Rounded,8.1,Yes
298,5.4,8.9,Light Brown,Broad,11.7,No
222,3.3,9.7,White,Pointed,8.6,No
245,5.8,9.7,Light Brown,Broad,8.1,No
212,3.6,9.3,Blond,Broad,7.7,No
339,9.8,8.8,Black,Rounded,5.1,Yes
227,4.4,11.3,Blond,Pointed,6.8,No
379,9.8,15.4,White,Broad,11.4,Yes
294,7.4,8.2,Blond,Broad,7.6,No
315,2.4,12.9,Dark Brown,Broad,10.7,No
323,9.2,13.4,Black,Broad,9.9,Yes
335,4.1,11.2,Dark Brown,Pointed,5.5,No
246,1.6,9.6,Dark Brown,Pointed,8.5,No
465,7,16.2,Cinnamon,Rounded,8.5,Yes
357,7.3,12.2,Blond,Rounded,8,Yes
307,1,12.4,Blond,Broad,9.4,No
207,1.3,12.3,Blond,Broad,8.9,No
413,6.8,13,Cinnamon,Rounded,6.8,Yes
229,5.4,7.8,Light Brown,Pointed,10.7,No
231,4.7,17.8,Cinnamon,Rounded,8.2,Yes
328,7.9,9.7,Cinnamon,Broad,7.6,Yes
317,5.3,15.7,Dark Brown,Broad,5.7,No
267,2.8,15.5,White,Pointed,7.8,No
340,8.3,17.4,Cinnamon,Broad,9.4,Yes
302,4.2,14.8,Light Brown,Pointed,8.8,No
238,7.3,11.4,Cinnamon,Pointed,8.6,Yes
387,5.7,17.3,Dark Brown,Broad,11.3,Yes
265,4.1,11.9,Light Brown,Pointed,5.6,No
281,2.8,11.3,Blond,Broad,8.1,No
285,4.7,17.3,Dark Brown,Broad,11,No
389,5.7,11.9,White,Pointed,11.2,Yes
332,8.5,14.5,Black,Pointed,9.4,Yes
466,9.1,8.9,White,Broad,8.4,Yes
401,4.1,14.6,Dark Brown,Pointed,7.8,No
327,3,7.4,Dark Brown,Pointed,8,No
280,1.7,11.2,Dark Brown,Broad,7.1,No
213,3.1,9.1,Dark Brown,Broad,7.2,No
327,3.4,12.2,Dark Brown,Broad,7.7,No
279,9.5,11.8,Light Brown,Broad,6.5,No
243,1.2,17.9,Light Brown,Pointed,9.8,No
309,3.9,9.1,Blond,Broad,8.2,No
238,3.4,10.1,Dark Brown,Pointed,6.3,No
379,3.7,13.1,Cinnamon,Rounded,10.8,Yes
458,8.2,12.4,Black,Broad,10.2,Yes
453,9.1,11,Black,Pointed,10.4,Yes
260,1,9.1,Light Brown,Broad,5.1,No
333,7.3,7.2,Dark Brown,Broad,8.1,No
492,4.2,9.3,White,Rounded,11.8,Yes
218,5.6,11.7,Cinnamon,Rounded,9.8,Yes
202,6.5,15.5,White,Rounded,11.2,Yes
312,4.4,10.7,Blond,Pointed,8,No
331,8,16,Cinnamon,Broad,9.1,Yes
387,8.8,17.1,Blond,Broad,9.6,Yes
288,8.2,14.6,Light Brown,Broad,8.1,No
274,4.4,11.5,Dark Brown,Broad,6.6,No
334,7.8,15.9,White,Broad,9.1,Yes
284,5,12.8,Dark Brown,Broad,10.5,No
299,5.3,8.2,Blond,Broad,10.2,No
368,3.7,7.8,White,Broad,11.8,Yes
281,8.3,11.2,Dark Brown,Pointed,10,No
423,1.9,12,Cinnamon,Broad,9.5,Yes
361,3.5,8.1,Cinnamon,Broad,5,No
206,9.2,15.5,Dark Brown,Rounded,6.7,No
271,1.3,8.4,Cinnamon,Broad,7.4,No
337,2,10.6,Light Brown,Pointed,8.1,No
459,5.6,9.5,Blond,Pointed,11,No
414,9.6,7,White,Rounded,12,Yes
361,1.2,12.4,Blond,Broad,6.7,No
492,1,8.1,Blond,Broad,6.5,No
286,1.5,14,White,Pointed,9.8,No
237,5.5,17.1,Dark Brown,Pointed,6.4,No
324,8.4,17.1,White,Rounded,8.9,Yes
448,5.5,15.2,Cinnamon,Broad,11,Yes
323,2,14.7,White,Pointed,5.4,No
217,2.9,12.4,Light Brown,Rounded,8,No
267,2.7,14.1,Light Brown,Broad,8.6,No
200,5.8,12.6,Dark Brown,Pointed,9.1,No
399,9.2,8.6,Black,Rounded,8.2,Yes
358,4.7,11.6,White,Broad,11.2,Yes
499,6.6,17.5,White,Rounded,11.8,Yes
305,4.4,12.3,Blond,Pointed,9.7,No
314,7.9,12.6,Cinnamon,Broad,8.4,Yes
370,4.1,7.1,Light Brown,Broad,9.7,No
418,6.8,17.5,White,Rounded,11.8,Yes
314,4,12.9,Light Brown,Broad,9.8,No
481,4.4,15.9,Cinnamon,Broad,8.2,Yes
438,10,13,Black,Rounded,7.1,Yes
470,5.4,7.2,Cinnamon,Rounded,10.4,Yes
473,4.3,11.6,Dark Brown,Broad,9.6,Yes
288,4.3,11.2,Blond,Broad,10.3,No
397,1.5,9.1,Light Brown,Pointed,6.2,No
271,2.7,9.6,Blond,Broad,5.1,No
230,7.8,10.5,Blond,Pointed,5.6,No
327,5.4,17.1,Light Brown,Broad,8,No
333,5.3,9.8,Dark Brown,Broad,5.7,No
379,1.4,9.2,Blond,Broad,5.8,No
367,8.2,11.6,Light Brown,Broad,8.9,Yes
421,8.2,11.5,Cinnamon,Broad,10.2,Yes
469,6.3,13.4,White,Rounded,9.5,Yes
210,4.1,7.8,Blond,Broad,10.2,No
409,5.3,12.8,Cinnamon,Broad,8.4,Yes
248,4,9.9,Light Brown,Broad,7.7,No
343,4.1,15,White,Rounded,10.8,Yes
347,4.1,16.9,Light Brown,Pointed,6,No
392,8.7,9.4,Black,Broad,11.5,Yes
257,3.2,8.2,Blond,Pointed,6.4,No
262,5.4,11.2,White,Broad,11.1,Yes
487,4.5,17.4,White,Broad,8.6,Yes
408,2.2,7.1,Blond,Pointed,5,No
415,1.5,10.1,Black,Broad,11.9,Yes
259,6.2,16.7,Black,Broad,11.4,Yes
330,6,14.2,Light Brown,Broad,8,Yes
313,1.6,11.1,Blond,Pointed,9.8,No
234,2.6,14.8,Cinnamon,Pointed,7.5,No
232,1.5,7.7,Blond,Broad,7.7,No
230,4.1,11.2,Cinnamon,Pointed,7.8,No
343,7.5,16.4,White,Rounded,8.6,Yes
424,7.6,8,Light Brown,Pointed,9.8,No
430,6.8,14.7,Cinnamon,Rounded,8.3,Yes
231,2.4,7.4,Cinnamon,Pointed,7.6,No
342,6.6,17.9,White,Broad,9.6,Yes
369,8,14.9,White,Rounded,5.8,Yes
364,9.8,8.7,White,Broad,9.3,Yes
204,3,12.9,Blond,Broad,6.8,No
244,2.2,12,Light Brown,Pointed,6.9,No
318,7.9,15.8,White,Broad,8.9,Yes
384,9.4,15.8,Cinnamon,Broad,8.9,Yes
398,7,12.3,Black,Rounded,9.5,Yes
267,2,16.2,Cinnamon,Pointed,6.2,No
360,9.5,11.5,White,Rounded,9.6,Yes
341,4.3,17.3,Blond,Rounded,11.7,No
265,1.4,13.1,Light Brown,Rounded,5.7,No
310,1.2,17.4,White,Rounded,9.3,Yes
313,7,7.6,Light Brown,Pointed,6.2,No
233,5.1,12.7,Blond,Broad,5.2,No
393,5.4,16.2,Black,Broad,8.1,Yes
278,4.2,10,Blond,Broad,9.3,No
447,7.9,15.7,Light Brown,Rounded,11.5,Yes
405,2.3,10,Dark Brown,Pointed,7.5,No
349,4.7,17.1,White,Rounded,10,Yes
420,8.5,11.7,Black,Broad,8.2,Yes
384,8.4,12.6,White,Pointed,10.1,Yes
349,2.6,7.5,Blond,Pointed,7.9,No
383,9.6,13.4,Cinnamon,Pointed,11.6,Yes
263,4.1,13,Light Brown,Rounded,9.1,Yes
339,1.1,10.5,Cinnamon,Pointed,9.8,No
227,3.2,11.2,Blond,Rounded,8.6,No
308,8.8,11.7,Cinnamon,Broad,10.9,Yes
495,7.8,14.4,Black,Broad,6.1,Yes
446,8.8,14.6,Black,Broad,8.2,Yes
327,7.6,12.5,Cinnamon,Rounded,9.5,Yes
225,9.3,9.2,Cinnamon,Broad,8,Yes
359,1.3,16.5,Light Brown,Pointed,8.5,No
347,9.5,11.5,Blond,Broad,10.9,No
311,1.7,11.7,Black,Rounded,9.5,Yes
355,5.8,15.4,Black,Rounded,10.4,Yes
369,8.1,14.3,Black,Broad,10.2,Yes
366,5.1,16,Light Brown,Broad,8.5,No
304,3.8,9.8,Blond,Broad,8.1,No
224,4.5,11.8,Black,Broad,9.9,Yes
237,9.6,9,Light Brown,Pointed,8.9,No
227,7.5,17.8,Black,Pointed,10.6,Yes
391,9.1,16.1,Black,Rounded,11.7,Yes
260,3.8,10.7,Light Brown,Pointed,8.8,No
415,9.4,13.8,Black,Rounded,10.2,Yes
401,9.9,11,Cinnamon,Broad,11.3,Yes
478,4.6,11.6,White,Rounded,9,Yes
240,2.2,7.3,White,Rounded,9,No
325,5.9,13.6,White,Rounded,11.7,Yes
421,5.8,9.5,Cinnamon,Rounded,10.8,Yes
362,7,9,White,Rounded,8.3,Yes
321,2.1,9.5,Light Brown,Pointed,6.7,No
243,5.3,7.1,Light Brown,Broad,5.1,No
467,4.1,17.4,White,Rounded,7.6,Yes
233,7.6,16.8,Blond,Rounded,7,No
418,9.7,18,Cinnamon,Rounded,8.9,Yes
203,4.8,12.8,Blond,Broad,9.4,No
454,5.2,10.9,Blond,Rounded,7.9,No
294,1.1,9,Light Brown,Broad,9.3,No
379,6.5,11.4,Black,Broad,8.3,Yes
325,4.2,11.7,Dark Brown,Broad,6.5,No
326,9,12,White,Rounded,8.1,Yes
217,9.1,10,Dark Brown,Rounded,8.4,Yes
326,1.7,8,Dark Brown,Pointed,6.3,No
285,2,12,Dark Brown,Pointed,7.5,No
284,4.5,14.8,Light Brown,Pointed,8.3,No
351,2.7,11.4,Light Brown,Broad,7.5,No
342,5.7,16.4,Black,Broad,11.2,Yes
367,7.6,15.6,White,Rounded,6.2,Yes
342,4.8,17.1,Black,Broad,10.7,Yes
253,4.1,11.8,Light Brown,Pointed,7.6,No
442,6.3,11.5,Cinnamon,Broad,9.3,Yes
307,7.6,11.1,Black,Broad,9.7,Yes
244,3.8,8.5,Light Brown,Broad,6.2,No
309,2.8,16.6,Cinnamon,Broad,5.3,Yes
310,8.7,16.7,White,Broad,10.6,Yes
409,7.1,16,Dark Brown,Rounded,10.1,Yes
244,3.3,12.9,Cinnamon,Pointed,8.7,No
283,4.2,8.5,Blond,Pointed,5.9,No
375,2.2,16,Cinnamon,Rounded,9.8,Yes
360,4.7,11.8,Light Brown,Pointed,10.6,No
318,4.4,16,Cinnamon,Pointed,11.2,Yes
305,3.8,12.2,Dark Brown,Broad,8.3,No
207,2.5,12.5,Black,Pointed,8.3,No
308,4.1,17.5,White,Broad,9.3,Yes
287,1.4,7.1,Light Brown,Pointed,9.5,No
337,8.8,13.9,White,Broad,11.3,Yes
339,1.5,8.5,Dark Brown,Broad,8,No
319,2.4,7.4,Blond,Pointed,5.3,No
405,9.6,14.1,White,Rounded,11.9,Yes
292,2.3,11,Black,Broad,9,No
467,9.3,16.9,Cinnamon,Broad,9,Yes
348,1.4,7.6,Light Brown,Pointed,5,No
357,5.1,17.6,Black,Broad,8.3,Yes
471,3.1,9,Dark Brown,Broad,7,No
323,6.5,17.9,Black,Broad,11.6,Yes
332,3.5,16.7,Blond,Pointed,9.8,No
475,7,15.2,Black,Broad,5.3,Yes
243,1.5,11,Dark Brown,Pointed,6,No
217,1.8,12.8,Light Brown,Broad,8.4,No
484,9.1,14.1,Cinnamon,Broad,10.3,Yes
307,5,9.2,Light Brown,Pointed,11.3,No
396,4.5,13.2,White,Rounded,7.7,Yes
406,1.6,7.1,White,Pointed,10.6,No
407,6.9,13,Black,Rounded,11,Yes
353,4.8,13.8,Cinnamon,Rounded,9.7,Yes
252,3.2,11.1,Dark Brown,Pointed,8.1,No
495,7.2,8.4,Dark Brown,Pointed,10,No
211,6,12.2,Blond,Broad,7.9,No
257,5.2,10.1,Light Brown,Pointed,8.5,No
209,3.2,13,Dark Brown,Broad,10.2,No
426,3.6,11.5,Dark Brown,Rounded,11.8,Yes
435,1.3,14.5,Light Brown,Broad,8.4,No
273,5.5,11,Cinnamon,Broad,6.1,No
260,2.3,9.4,Light Brown,Broad,8.3,No
281,9.7,8.3,Dark Brown,Broad,5.5,No
376,1.2,10.1,Blond,Broad,7.7,No
354,4.5,13.1,White,Rounded,8.7,Yes
203,5.2,12.7,Blond,Broad,8.6,No
234,3.6,12.3,White,Pointed,11.3,Yes
453,4.8,11.9,Black,Rounded,8.1,Yes
391,8.4,16.1,Cinnamon,Rounded,10.4,Yes
326,6.5,16.7,White,Rounded,9.2,Yes
388,3.2,8,Black,Rounded,10.7,Yes
413,4.5,12.5,White,Broad,10.1,Yes
235,4.4,9.1,Dark Brown,Pointed,6.6,No
406,4.3,17.3,Blond,Pointed,11.8,No
369,9,12.7,White,Broad,9.7,Yes
497,3.8,9.5,Blond,Pointed,6,No
396,3.7,17.1,Cinnamon,Broad,8.8,Yes
209,4.3,16.1,Dark Brown,Broad,9.2,No
268,1.3,8.5,Light Brown,Broad,7,No
337,7.5,11.1,Black,Rounded,9.3,Yes
242,5.3,11.2,Blond,Pointed,11.7,No
294,3.3,8.6,Dark Brown,Broad,6.9,No
309,5.3,9.6,Blond,Rounded,8.9,No
434,4.4,15.1,White,Rounded,11.2,Yes
269,5.4,12,Dark Brown,Pointed,6.2,No
209,2.1,12.6,Light Brown,Pointed,5.4,No
269,4.8,8.8,White,Rounded,9,Yes
430,10,14.1,White,Pointed,7.5,Yes
337,10,16.8,Light Brown,Pointed,9.9,No
275,4.6,15.2,Dark Brown,Broad,6.8,No
314,4.5,10.5,Black,Rounded,10.6,Yes
356,4.4,9,Blond,Pointed,9.2,No
332,1,10.2,Dark Brown,Pointed,5.1,No
404,4.1,9.5,Blond,Rounded,5.4,No
418,1.5,15.1,Black,Broad,9.5,Yes
277,1,11.5,Blond,Pointed,9.4,No
496,4.2,11,Black,Rounded,10.8,Yes
475,8.6,11.9,Black,Broad,11.8,Yes
286,4.2,16.9,Cinnamon,Broad,12,Yes
319,8.9,15.2,Cinnamon,Rounded,11.2,Yes
307,4.3,7.1,Light Brown,Broad,9,No
417,9.9,12.4,Dark Brown,Pointed,7.6,No
475,8.6,14,Cinnamon,Broad,11,Yes
426,2.3,12.8,Cinnamon,Rounded,11.4,Yes
328,2.7,15.5,Light Brown,Rounded,9.6,Yes
435,4.6,15.4,Cinnamon,Rounded,8.3,Yes
346,3.5,17.7,Cinnamon,Rounded,11.9,Yes
218,3.7,8.6,Light Brown,Broad,5.1,No
292,7.8,11.1,Cinnamon,Broad,10.2,Yes
488,6.8,7.5,Black,Broad,11,Yes
237,9.8,7.8,Blond,Broad,7.7,No
421,8.6,16.5,Cinnamon,Rounded,10.4,Yes
342,8.9,17.1,Cinnamon,Rounded,11.5,Yes
284,7.5,15.3,White,Broad,10.7,Yes
471,9.1,12,White,Broad,9,Yes
290,1.4,13,Light Brown,Pointed,7.4,No
362,4.3,10.1,Dark Brown,Pointed,6,No
384,2.1,12.6,Light Brown,Broad,9.6,No
372,5,11.5,Dark Brown,Pointed,9.7,No
230,4,11.4,Blond,Broad,11.3,No
204,3.3,8.8,Cinnamon,Pointed,6.8,No
397,1.8,16.5,White,Broad,9.4,Yes
394,7.7,15.8,Cinnamon,Broad,8.6,Yes
378,9.6,17.2,Black,Rounded,11.9,Yes
309,1.2,12.4,Light Brown,Pointed,5.3,No
273,1.9,11.2,Light Brown,Pointed,8.4,No
334,7.4,18,Cinnamon,Rounded,9.7,Yes
361,7.8,17,White,Rounded,9.1,Yes
258,4.3,12.2,Blond,Broad,9.9,No
325,2.4,9.9,Light Brown,Pointed,6.2,No
367,6.5,11.9,Cinnamon,Rounded,9.4,Yes
424,5.6,17.4,Light Brown,Rounded,9.5,Yes
283,2.5,12.1,Blond,Broad,11.7,No
466,9.6,11.6,Cinnamon,Broad,9.5,Yes
321,6.7,12.6,Cinnamon,Broad,8,Yes
351,7.3,13,Black,Broad,11.6,Yes
500,7.1,15.4,Cinnamon,Rounded,9,Yes
375,8.1,13.1,White,Rounded,5.4,Yes
205,2.5,9.3,Blond,Pointed,11.8,No
278,9,9.3,Blond,Broad,5.4,No
301,4.1,9.4,Black,Rounded,11.5,Yes
278,8.4,11.3,Blond,Pointed,6.6,No
296,7.7,7.7,Blond,Pointed,6.8,No
472,7.9,7.6,Light Brown,Broad,9.5,Yes
238,4.1,15.5,White,Rounded,9.2,No
398,9.6,16.4,Black,Broad,10.5,Yes
318,6.2,13.3,Black,Rounded,7.5,Yes
269,3,7.5,Dark Brown,Broad,10.8,No
302,3.9,14.4,Black,Broad,8.6,Yes
337,9.5,17,White,Pointed,6.8,Yes
350,9.6,16.8,White,Pointed,10.7,Yes
262,4,14.5,White,Pointed,7.6,No
338,2.8,11.9,Light Brown,Pointed,5.3,No
241,3.4,12.5,Light Brown,Pointed,7.9,No
333,2.1,16.2,Dark Brown,Broad,6.4,No
233,1.4,9.2,Light Brown,Pointed,8.9,No
267,9.2,18,Cinnamon,Rounded,10.2,Yes
234,4.3,15,Dark Brown,Pointed,6.8,No
327,6.5,11.8,Dark Brown,Rounded,8.1,Yes
338,6.3,17.8,Blond,Rounded,11,Yes
372,5.4,16.7,Cinnamon,Rounded,11.5,Yes
317,2.4,7,Dark Brown,Broad,8.1,No
402,9.7,15,Black,Rounded,9.8,Yes
318,1.1,11.7,Black,Broad,11.8,Yes
327,4.4,17.9,Black,Broad,7.4,Yes
279,2.6,11.5,Light Brown,Broad,9.8,No
385,5,10.5,Light Brown,Pointed,11.6,No
344,5.8,11.6,Light Brown,Broad,9.8,Yes
488,4.2,10,Black,Rounded,9.3,Yes
437,4.8,15.7,Black,Rounded,9.5,Yes
345,8.7,12,Light Brown,Broad,9.9,Yes
399,5.9,11.8,Black,Broad,5.2,Yes
362,4.6,17.9,White,Broad,8.8,Yes
413,6.2,11.5,Blond,Broad,9.7,Yes
493,6.5,17.3,Black,Rounded,8,Yes
356,7.5,11,Cinnamon,Rounded,8,Yes
342,7.8,11.4,White,Rounded,9.9,Yes
368,3.8,11.2,Light Brown,Broad,6.6,No
345,5.2,12.3,Blond,Pointed,9,No
315,6,12.4,Cinnamon,Broad,10.4,Yes
391,7.5,11.5,Cinnamon,Broad,10,Yes
203,1.6,11.7,Dark Brown,Pointed,5.2,No
333,5.3,11.1,Blond,Pointed,6.7,No
436,9.1,11.2,Cinnamon,Broad,9.6,Yes
335,3.7,11.1,Blond,Broad,10.3,No
291,3.2,11.5,Blond,Pointed,5.5,No
330,6.6,14.6,White,Rounded,9.8,Yes
313,1.8,8.4,Blond,Pointed,6.3,No
325,3.6,12.8,Light Brown,Broad,9.2,No
218,4.3,14,White,Broad,9.5,Yes
333,5.3,11.7,Dark Brown,Broad,8.7,No
424,1.1,11.5,Light Brown,Pointed,6.9,No
307,1.1,8,Light Brown,Pointed,8.7,No
352,7.2,12.5,Cinnamon,Broad,11.2,Yes
397,4,14,White,Broad,8.3,Yes
238,2.1,14.8,Light Brown,Pointed,11.2,No
398,2.7,10.5,Blond,Broad,10.5,No
242,3.4,8.4,Light Brown,Pointed,7.4,No
315,1.7,11.4,Dark Brown,Pointed,8,No
274,5.4,10.3,Blond,Rounded,7.9,No
221,2.1,7.4,Blond,Pointed,9.3,No
280,2.8,9.7,Light Brown,Pointed,8.5,No
211,5,9.9,Dark Brown,Pointed,8.6,No
235,5.3,11.5,Blond,Pointed,7.1,No
362,4.1,14.2,Black,Broad,10.4,Yes
218,4.8,12.9,Light Brown,Broad,9.8,No
230,3.8,8.6,Blond,Pointed,8.7,No
462,9.6,17.6,Cinnamon,Pointed,9.3,Yes
277,1.4,8.8,Dark Brown,Pointed,5.7,No
450,6.7,14.8,Black,Broad,8.2,Yes
225,2,10.5,Blond,Broad,6.7,No
309,3,14.9,Blond,Pointed,6.3,No
453,7.1,12,Cinnamon,Rounded,10.4,Yes
303,1.1,10.5,Light Brown,Pointed,9,No
249,5.4,12.6,Dark Brown,Pointed,6.6,No
307,5.3,12,White,Rounded,11.5,Yes
313,3.3,9.2,Light Brown,Pointed,8,No
205,3.1,15.6,Light Brown,Broad,6.2,No
296,3.6,12.4,Blond,Pointed,9.2,No
319,3.3,11.6,White,Pointed,8.2,No
377,4.1,15.6,Black,Rounded,8.3,Yes
319,4,10.7,Blond,Pointed,11,No
319,9.2,11,White,Rounded,10.9,Yes
380,6.6,11.3,Cinnamon,Broad,7.9,Yes
374,7.3,16.6,Cinnamon,Rounded,8.8,Yes
496,7.3,12.5,Black,Broad,10.1,Yes
300,1.1,13.3,Light Brown,Pointed,5.4,No
405,8.6,13.9,Black,Broad,11.3,Yes
358,4.5,9.6,White,Rounded,9.8,Yes
310,3.9,12.8,Dark Brown,Broad,10.9,No
317,4.4,15,Dark Brown,Pointed,7.8,No
402,7.5,16.1,Black,Rounded,8.6,Yes
259,6.5,9.8,Blond,Broad,8.1,No
256,10,9.4,Dark Brown,Broad,5,No
308,7.2,12.7,Light Brown,Rounded,8.5,No
298,1.1,11.6,Blond,Rounded,8,No
240,9.8,14.5,Cinnamon,Broad,10.4,Yes
237,1.2,12.1,Blond,Broad,8.7,No
